Tid (s),C1,C2
335,65.9,55.4
336,69.5,54.5
337,73.1,55.5
338,74.4,55.5
339,73.4,59.7
340,70.1,57.1
341,68.6,54.4
342,67.4,55.4
343,67.7,53.5
344,68.3,52.3
345,67.8,55.2
346,64.5,52.4
347,64.5,51.9
348,66.5,51.7
349,69.9,51.7
350,71.6,52.8
351,68.1,53
352,69.2,52.6
353,70.6,51.1
354,70.4,51.3
355,65.8,51.7
356,65.3,53.5
357,65.4,52.4
358,65.5,51.4
359,64.1,55.7
360,63.6,53.5
361,61.4,50.5
362,63.2,49
363,63,49.6
364,61.3,49
365,60.5,47.4
366,60.4,47.6
367,59.4,48.2
368,60.4,49.6
369,61,50.7
370,59.6,50
371,60.2,49.3
372,62.3,51.4
373,63.8,51.4
374,65.3,52.5
375,67,53.7
376,68,55.5
377,65.8,57.4
378,65.4,53.5
379,63.7,52.6
380,64.1,51.7
381,63.6,50.8
382,63.7,51.2
383,64.2,51.5
384,63,52.7
385,59.7,50.6
386,57.6,50.6
387,56.6,52.6
388,56.3,49.7
389,55.8,50.1
390,55.7,50
391,55.8,50.7
392,56.1,51.3
393,56.4,52.1
394,56.8,51.2
395,56.9,52.1
396,57.7,52.7
397,59.7,52.6
398,65.1,51.4
399,65.4,51.6
400,62.3,52
401,60,51.1
402,59.5,50.2
403,56.4,49.5
404,55.7,50.6
405,55.3,51.1
406,55.3,50.1
407,55.6,49.5
408,55.3,48.9
409,55.3,49.1
410,55.3,50.4
411,55.1,50.6
412,55.3,52
413,55.5,53.5
414,55.6,57.1
415,55.5,59.9
416,56,55.8
417,56,54.5
418,57,54.8
419,56.8,55.6
420,56.8,54.7
421,57.2,53.8
422,57.2,55.6
423,57.6,53.5
424,58.1,54.1
425,60.8,53.9
426,61.4,57.2
427,62.8,54.1
428,64.3,54.4
429,65.6,55.6
430,66.6,54.2
431,69.5,53.3
432,71.5,54.2
433,77,55.3
434,76.4,54.5
435,74.2,51.1
436,72.2,50.4
437,67.6,50.1
438,66.9,50
439,66.3,50.4
440,64.4,53.1
441,62.4,52.2
442,62.7,52.5
443,61.3,52
444,58.4,52
445,59.5,52.3
446,58.7,53
447,62.7,52.8
448,58.8,54.7
449,55.6,52.6
450,56.3,53.6
451,56.2,53.1
452,58.5,52.7
453,57.5,52.1
454,57.5,51.3
455,56.2,51.2
456,56.6,51.4
457,59,52
458,57.4,51.8
459,55.9,52.3
460,55.4,52.5
461,55.6,53.6
462,57.9,52.4
463,56.2,52.7
464,58,53.1
465,58.7,52.3
466,59.9,54
467,58.3,52.9
468,57.5,51.4
469,55.9,53.5
470,55.8,53.5
471,56.1,51
472,55.3,51.3
473,56.2,50.8
474,57.4,53.7
475,62.2,49.9
476,59.5,50.1
477,61.2,48.2
478,58.4,48
479,57.9,47.6
480,59.3,48.5
481,55.4,49.9
482,60.9,50.3
483,58.9,52
484,60.6,51.8
485,59.7,50.9
486,58,52.1
487,60,52
488,58.7,52.9
489,59.4,52
490,62.3,51.8
491,65,51.3
492,65,52.5
493,63.4,53.2
494,63,56.6
495,64,53.2
496,68.9,52.3
497,73.6,52.3
498,72.2,51
499,69.7,50.9
500,67.7,51.3
501,64,50.1
502,61,50.8
503,59.5,51.5
504,58.2,51.6
505,61.3,52.3
506,59.4,53.8
507,58.8,53.8
508,57.6,55
509,56.1,55.9
510,55.8,56.2
511,58.4,55.4
512,56.4,57.7
513,56.4,54.2
514,56.3,57.7
515,57,55.7
516,57.8,52.8
517,57.5,52
518,57.5,50
519,61,49.8
520,57.1,47.4
521,56.3,47.4
522,56.8,49.1
523,56.9,51
524,58.4,49.9
525,58.9,50.4
526,58.5,51.7
527,60,55.4
528,61.1,51.4
529,61.7,50.6
530,63,51.4
531,61.9,51.8
532,61.2,52.2
533,61,54.8
534,60.3,53.3
535,58.8,55.4
536,61,53.7
537,59.8,53.1
538,62.5,56.4
539,61,54.9
540,61.8,55.6
541,63.3,58.1
542,66.2,54.6
543,65,53.7
544,65.1,55.6
545,63.3,53.2
546,60.1,54.3
547,60.9,54.1
548,61.9,54.5
549,61.5,56.4
550,64,51
551,65.5,51.5
552,67,51.6
553,68.4,50.9
554,68.3,49.7
555,67.8,54.1
556,66.3,50.5
557,67.1,52.7
558,68.8,47.9
559,67.7,46.5
560,65.5,45.8
561,63.4,45.6
562,62.1,45.8
563,61.9,46.4
564,60.8,47.9
565,59.6,50.3
566,59.5,52
567,59.2,50.1
568,60.1,51.1
569,60.6,52.4
570,60.8,52.9
571,62,55.3
572,64.1,52.1
573,65.7,52.1
574,65.3,52.5
575,65,52
576,65.1,55
577,66,52.4
578,67.1,51.8
579,65,52.6
580,67.8,53.9
581,69.8,52.9
582,70.7,54
583,66.9,54.7
584,70.3,52.5
585,65.9,49.4
586,65,48.5
587,63.4,47.7
588,63.6,46.6
589,62.7,47.3
590,63.1,48.1
591,62.5,48.7
592,62,48.6
593,62.7,48.4
594,61.6,49.1
595,62.4,50.5
596,63.4,50
597,67.7,50.2
598,69.2,51.7
599,71.7,53.2
600,72.3,51.8
601,71.7,52.1
602,70.6,56.1
603,68.3,54.4
604,71.6,54.2
605,69.4,53.8
606,68.3,56.9
607,68,56.4
608,70.8,53.8
609,75.3,52.4
610,71.4,51.6
611,71.1,49.9
612,70.4,49.6
613,72,50.4
614,72.5,51.5
615,72.3,51
616,72.9,51.8
617,72,51.2
618,72.3,49.3
619,71.3,48.9
620,76.8,48.2
621,74.6,50.6
622,71,48.9
623,69.6,48.6
624,69,49
