Tid (s),C1,C2
333,57.9,50
334,53.9,47.7
335,50.5,44.4
336,57,45.3
337,58.2,48.5
338,58.4,48.3
339,61.2,48.7
340,60.3,48.9
341,61.2,51.6
342,60,51.8
343,56.5,49.9
344,54.2,46.9
345,52.6,44.5
346,52.1,42.9
347,51.1,42.5
348,55.9,45.2
349,56,47.7
350,55.9,47
351,59,49.3
352,61,49
353,60.3,51.2
354,57.1,49.8
355,54.9,47.6
356,52.7,45
357,50.9,43.2
358,49.7,41.6
359,51.1,40.6
360,51.9,41.2
361,52.4,41.2
362,52.7,42
363,51.1,42.1
364,49.5,42
365,48.7,41.4
366,47.9,41.3
367,48.5,41.1
368,49.2,41.5
369,49.4,41.1
370,49.3,41.7
371,47.4,41.2
372,49.2,41.8
373,47.6,41.1
374,49.1,42.8
375,50.5,42.4
376,54.2,45.1
377,60.4,50.9
378,61,53
379,60.6,53.4
380,59.6,52.1
381,59.4,52.2
382,58.6,51
383,55.9,49.8
384,56.4,48
385,57.6,49
386,57,49.7
387,57.4,49.8
388,58.1,50.3
389,56.5,50
390,58.2,50.2
391,57.1,49.7
392,57,50.9
393,56.1,51.2
394,56.9,52.5
395,56.7,53.3
396,58,56.1
397,58,51.8
398,59.5,51.1
399,57.5,51.2
400,57,50.5
401,55.9,49
402,56,50
403,54.1,47.7
404,58.3,50.5
405,56.4,49.8
406,57,49.7
407,56.9,49.8
408,53.9,48.6
409,54.7,47.7
410,55.9,48.4
411,55.9,48.3
412,56.6,48.7
413,55.4,49.6
414,57.1,47.6
415,58.7,50
416,57.7,49
417,58.2,48.7
418,57.1,48.1
419,57,48
420,56.5,47.9
421,57.1,48.4
422,59.8,50.9
423,62.4,54
424,62.2,54.5
425,60.1,52.8
426,58.1,50.5
427,59.2,48.6
428,59.4,49.2
429,57.3,48.3
430,56.7,48.6
431,57.1,48.3
432,57.7,48.1
433,58,48.6
434,58.6,49.4
435,58.8,49.3
436,57.5,49.1
437,59,48.8
438,58.6,50.5
439,59.4,51.5
440,59,51.3
441,60.2,52
442,61.5,53.3
443,62.2,53.9
444,62.1,54.6
445,61.8,54.1
446,63.1,54.9
447,64.1,54.8
448,63.3,54.3
449,62.1,53
450,60.6,51.9
451,60.2,51.4
452,59.4,51.7
453,58.9,51.4
454,58.6,51.6
455,58.5,55.2
456,60.5,56.8
457,60.2,56.4
458,60.3,58.9
459,59.1,56
460,59.3,52.8
461,58.9,52.4
462,59.5,51.9
463,58.8,50.8
464,59.9,51.6
465,60.4,53.4
466,57.2,51.3
467,57.7,51.6
468,56.5,50.7
469,56.5,51.6
470,58.4,53
471,58,53.5
472,58.8,53.7
